review_id,ulasan,rating,tanggal,produk
R026,Sudah bayar ongkir mahal tapi sampainya lambat,2,2026-08-02,Kemeja Linen
R018,Barang datang dalam keadaan robek di bagian bawah,2,2026-07-29,Kemeja Linen
R043,"Respon penjual cepat, tidak dicuekin",5,2026-06-30,Kaos Polos Katun
R021,Ada noda di bagian depan waktu sampai,3,2026-07-09,Celana Chino
R041,"Seller amanah, chat dibalas cepat",5,2026-06-18,Kemeja Linen
R015,Ukuran tidak konsisten antara warna yang satu dan lainnya,1,2026-06-08,Celana Chino
R034,"Pelayanannya bagus, langsung dibalas walau malam",5,2026-07-15,Kaos Polos Katun
R029,"Warna yang datang beda jauh dari foto, pesan maroon datang coklat",3,2026-08-03,Celana Chino
R045,"Harganya murah, worth it untuk kualitas segini",4,2026-06-30,Kaos Polos Katun
R027,Kemasannya penyok pas sampai,2,2026-06-10,Celana Chino
R013,"Kepanjangan di badan, ukurannya aneh",2,2026-06-24,Kaos Polos Katun
R019,"Kainnya kasar, ga senyaman yang dijanjikan",2,2026-07-02,Kaos Polos Katun
R038,"CS nya ramah dan solutif, jarang ada yang begini",5,2026-07-21,Kemeja Linen
R022,Jahitan berantakan di bagian kerah,2,2026-07-14,Celana Chino
R028,"Packing kurang rapi, plastiknya sobek",3,2026-07-14,Celana Chino
R012,"Ukuran mengecewakan, tidak sesuai yang tertulis",1,2026-08-09,Kaos Polos Katun
R020,Warnanya luntur setelah dicuci sekali,3,2026-07-02,Kaos Polos Katun
R048,"Packing rapi dan aman, barang mulus",5,2026-08-08,Kemeja Linen
R052,Barang sampai cepat dan kondisi bagus,5,2026-06-14,Kemeja Linen
R055,"Pengiriman on time, sesuai estimasi",4,2026-06-15,Kemeja Linen
R006,"Kekecilan, padahal sudah ukur badan sesuai panduan",2,2026-06-09,Kaos Polos Katun
R033,Adminnya sabar jawab pertanyaan saya sampai detail,5,2026-07-28,Kemeja Linen
R009,"Ukurannya ga standar, lebih kecil dari merek lain",1,2026-07-21,Kaos Polos Katun
R011,"L nya kecil, mending naik dua size kalau mau beli",1,2026-07-08,Kemeja Linen
R051,"Bahannya lembut, nyaman dipakai",5,2026-07-21,Kemeja Linen
R054,"Jahitannya rapi, tidak ada cacat",4,2026-06-27,Kemeja Linen
R044,"Bahannya adem dipakai seharian, suka",4,2026-06-23,Kaos Polos Katun
R003,"Pesan XL yang datang kayak L, kekecilan banget",1,2026-07-17,Celana Chino
R042,"Ramah banget adminnya, jadi enak belanja",5,2026-07-24,Kemeja Linen
R036,"Penjualnya baik, mau tukar tanpa ribet",5,2026-08-03,Kaos Polos Katun
R016,Jahitannya lepas di bagian lengan setelah sekali cuci,1,2026-08-03,Celana Chino
R030,Fotonya bagus tapi aslinya mengecewakan,3,2026-06-09,Kaos Polos Katun
R032,"Seller fast respon, ramah banget, recommended",5,2026-06-08,Celana Chino
R049,Kualitasnya oke untuk harga segini,5,2026-06-17,Celana Chino
R008,Beli size M kok sempit banget di bagian dada,1,2026-06-16,Kaos Polos Katun
R031,Modelnya beda tipis dari yang di gambar,3,2026-07-31,Celana Chino
R047,"Sesuai deskripsi, tidak ada yang meleset",5,2026-06-01,Kaos Polos Katun
R023,"Bahan gampang melar, sekali pakai sudah longgar",2,2026-07-07,Celana Chino
R017,"Bahannya tipis banget, nerawang kalau kena cahaya",3,2026-07-25,Kemeja Linen
R050,"Warnanya persis seperti di foto, puas",4,2026-07-29,Celana Chino
R025,"Pengiriman lama banget, hampir dua minggu baru sampai",3,2026-06-22,Kemeja Linen
R046,"Pengiriman cepat sekali, dua hari sampai",5,2026-06-24,Kemeja Linen
R014,"Salah size lagi, padahal sudah tanya admin dulu",1,2026-07-18,Kaos Polos Katun
R005,Sizenya melenceng jauh dari keterangan di deskripsi,1,2026-06-12,Kemeja Linen
R002,"Size L nya kayak M, ga muat di badan saya",1,2026-06-10,Celana Chino
R040,"Pelayanan memuaskan, seller komunikatif",5,2026-07-22,Celana Chino
R024,"Paket telat seminggu, kurirnya juga ga ngabarin",2,2026-06-16,Celana Chino
R053,"Harga terjangkau, kualitas tidak mengecewakan",5,2026-06-08,Kaos Polos Katun
R035,"Seller responsif, dikasih rekomendasi size juga",5,2026-07-16,Kaos Polos Katun
R010,Pesan sesuai size chart tapi tetap kekecilan,1,2026-06-06,Celana Chino
R037,"Respon cepat, dibantu sampai selesai",5,2026-07-07,Kaos Polos Katun
R001,"Ukurannya kekecilan padahal saya pesan L, kecewa",2,2026-06-20,Kemeja Linen
R007,"Size chart nya ga akurat, saya harus tukar",1,2026-08-10,Kemeja Linen
R004,"Ukuran tidak sesuai size chart, kebesaran malah",1,2026-08-04,Kaos Polos Katun
R039,"Adminnya fast respon, dibantu pilih warna",5,2026-06-11,Kaos Polos Katun
